Id;Company;Symbol;Weight;Price;Chg;%Chg
81;CoStar Group Inc;CSGP;0.233;79.12;-0.73;(-0.92%)
82;Crowdstrike Holdings Inc;CRWD;0.23;148.41;1.00;(0.67%)
83;Fastenal Co;FAST;0.229;54.80;-0.59;(-1.07%)
84;GLOBALFOUNDRIES Inc;GFS;0.226;57.26;-0.14;(-0.25%)
85;Warner Bros Discovery Inc;WBD;0.216;12.05;-0.11;(-0.88%)
86;Baker Hughes Co;BKR;0.208;28.54;0.17;(0.61%)
87;Datadog Inc;DDOG;0.197;94.09;0.22;(0.24%)
88;Walgreens Boots Alliance Inc;WBA;0.197;31.73;0.54;(1.74%)
89;Constellation Energy Corp;CEG;0.196;84.36;0.83;(0.99%)
90;ANSYS Inc;ANSS;0.194;302.34;-4.01;(-1.31%)
91;Diamondback Energy Inc;FANG;0.174;134.01;1.56;(1.18%)
92;eBay Inc;EBAY;0.17;43.61;-0.51;(-1.17%)
93;Align Technology Inc;ALGN;0.162;290.26;-10.60;(-3.51%)
94;Enphase Energy Inc;ENPH;0.161;165.30;0.65;(0.39%)
95;Atlassian Corp;TEAM;0.161;161.54;3.16;(2.00%)
96;Zscaler Inc;ZS;0.132;128.34;-0.52;(-0.40%)
97;Zoom Video Communications Inc;ZM;0.124;65.54;-5.87;(-8.23%)
98;JD.com Inc ADR;JD;0.118;35.45;-0.54;(-1.51%)
99;Sirius XM Holdings Inc;SIRI;0.1;3.54;-0.02;(-0.42%)
100;Lucid Group Inc;LCID;0.096;7.79;0.14;(1.76%)
101;Rivian Automotive Inc;RIVN;0.09;14.37;0.14;(0.98%)
